kecamatan_key,kecamatan_norm,tahun_proyeksi,demand_sd,demand_smp,demand_total
WIYUNG,WIYUNG,2026,6760,3706,10466
BENOWO,BENOWO,2026,7232,3906,11138
BULAK,BULAK,2026,4668,2503,7171
SIMOKERTO,SIMOKERTO,2026,8670,4588,13258
MULYOREJO,MULYOREJO,2026,7675,4150,11825
TANDES,TANDES,2026,8646,4743,13389
KARANGPILANG,KARANGPILANG,2026,6846,3543,10389
GENTENG,GENTENG,2027,4971,2854,7825
SAWAHAN,SAWAHAN,2027,17165,9788,26953
SUKOMANUNGGAL,SUKOMANUNGGAL,2027,9611,5225,14836
ASEMROWO,ASEMROWO,2027,5175,2498,7673
WONOKROMO,WONOKROMO,2027,12915,7162,20077
PABEANCANTIAN,PABEAN CANTIAN,2027,6919,3612,10531
RUNGKUT,RUNGKUT,2027,11471,6080,17551
PAKAL,PAKAL,2027,6132,3231,9363
SEMAMPIR,SEMAMPIR,2027,19210,9904,29114
TENGGILISMEJOYO,TENGGILIS MEJOYO,2027,5370,2849,8219
TEGALSARI,TEGALSARI,2027,8581,4678,13259
GAYUNGAN,GAYUNGAN,2027,3836,2133,5969
BUBUTAN,BUBUTAN,2027,8720,4740,13460
GUBENG,GUBENG,2027,11007,5988,16995
LAKARSANTRI,LAKARSANTRI,2027,5986,3286,9272
TAMBAKSARI,TAMBAKSARI,2027,20123,11036,31159
JAMBANGAN,JAMBANGAN,2027,5135,2818,7953
SUKOLILO,SUKOLILO,2027,10669,5690,16359
SAMBIKEREP,SAMBIKEREP,2027,6271,3442,9713
DUKUHPAKIS,DUKUH PAKIS,2027,5310,2945,8255
KREMBANGAN,KREMBANGAN,2027,10894,5717,16611
WONOCOLO,WONOCOLO,2027,7286,3841,11127
GUNUNGANYAR,GUNUNG ANYAR,2027,5832,3135,8967
KENJERAN,KENJERAN,2027,19550,9901,29451
WIYUNG,WIYUNG,2027,6664,3698,10362
BENOWO,BENOWO,2027,7191,3842,11033
BULAK,BULAK,2027,4657,2495,7152
SIMOKERTO,SIMOKERTO,2027,8600,4634,13234
MULYOREJO,MULYOREJO,2027,7622,4122,11744
TANDES,TANDES,2027,8448,4678,13126
KARANGPILANG,KARANGPILANG,2027,6831,3536,10367
